 Produto interno bruto per capita - 2010 a 2013, referęncia 2010 - Săo Paulo
PIB per capita por Município
Período:2013
"Município";"PIB_per_capita"
"353060 MOGI DAS CRUZES";31133,55
"353070 MOGI GUACU";32137,10
"353080 MOGI MIRIM";37441,80
"353090 MOMBUCA";17581,56
"353100 MONCOES";23644,55
"353110 MONGAGUA";13672,13
"353120 MONTE ALEGRE DO SUL";19703,13
"353130 MONTE ALTO";28713,04
"353140 MONTE APRAZIVEL";23184,59
"353150 MONTE AZUL PAULISTA";21425,39
"353160 MONTE CASTELO";17256,11
"353170 MONTEIRO LOBATO";11540,71
"353180 MONTE MOR";51934,49
"353190 MORRO AGUDO";33501,40
"353200 MORUNGABA";32157,11
"353205 MOTUCA";14544,61
"353210 MURUTINGA DO SUL";11985,66
"353215 NANTES";26741,46
"353220 NARANDIBA";45909,14
"353230 NATIVIDADE DA SERRA";7914,92
"353240 NAZARE PAULISTA";16685,81
"353250 NEVES PAULISTA";16560,75
"353260 NHANDEARA";20849,57
"353270 NIPOA";16338,53
"353280 NOVA ALIANCA";13566,11
"353282 NOVA CAMPINA";36936,23
"353284 NOVA CANAA PAULISTA";12541,84
"353286 NOVA CASTILHO";27093,43
"353290 NOVA EUROPA";25272,10
"353300 NOVA GRANADA";14784,64
"353310 NOVA GUATAPORANGA";11446,70
"353320 NOVA INDEPENDENCIA";22218,16
"353325 NOVAIS";9746,63
"353330 NOVA LUZITANIA";9742,77
"353340 NOVA ODESSA";43537,81
"353350 NOVO HORIZONTE";22967,56
"353360 NUPORANGA";49745,13
"353370 OCAUCU";17528,03
"353380 OLEO";22525,89
"353390 OLIMPIA";28075,54
"353400 ONDA VERDE";46426,57
"353410 ORIENTE";12793,64
"353420 ORINDIUVA";54174,99
"353430 ORLANDIA";33467,16
"353440 OSASCO";80265,37
"353450 OSCAR BRESSANE";21639,59
"353460 OSVALDO CRUZ";23933,51
"353470 OURINHOS";22986,31
"353475 OUROESTE";66272,74
"353480 OURO VERDE";11716,44
"353490 PACAEMBU";11128,03
"353500 PALESTINA";21469,39
"353510 PALMARES PAULISTA";8710,88
"353520 PALMEIRA D'OESTE";13379,02
"353530 PALMITAL";24433,73
"353540 PANORAMA";14982,13
"353550 PARAGUACU PAULISTA";20302,35
"353560 PARAIBUNA";13480,21
"353570 PARAISO";28302,26
"353580 PARANAPANEMA";23275,09
"353590 PARANAPUA";15004,93
"353600 PARAPUA";22743,14
"353610 PARDINHO";32731,60
"353620 PARIQUERA-ACU";19893,94
"353625 PARISI";13085,85
"353630 PATROCINIO PAULISTA";45147,26
"353640 PAULICEIA";28491,99
"353650 PAULINIA";131151,41
"353657 PAULISTANIA";12016,08
"353660 PAULO DE FARIA";19539,32
"353670 PEDERNEIRAS";44912,17
"353680 PEDRA BELA";10563,27
"353690 PEDRANOPOLIS";16086,17
"353700 PEDREGULHO";27712,88
"353710 PEDREIRA";21154,56
"353715 PEDRINHAS PAULISTA";28257,87
"353720 PEDRO DE TOLEDO";11458,79
"353730 PENAPOLIS";19320,72
"353740 PEREIRA BARRETO";22158,64
"353750 PEREIRAS";15282,51
"353760 PERUIBE";19300,59
"353770 PIACATU";12817,99
"353780 PIEDADE";17310,02
"353790 PILAR DO SUL";16032,40
"353800 PINDAMONHANGABA";35853,43
"353810 PINDORAMA";17850,61
"353820 PINHALZINHO";14480,01
"353830 PIQUEROBI";12918,60
"353850 PIQUETE";8806,82
"353860 PIRACAIA";13805,06
"353870 PIRACICABA";52619,75
"353880 PIRAJU";17489,34
"353890 PIRAJUI";12201,58
"353900 PIRANGI";17273,76
"353910 PIRAPORA DO BOM JESUS";18952,62
"353920 PIRAPOZINHO";22314,58
"353930 PIRASSUNUNGA";27731,12
"353940 PIRATININGA";11806,28
"353950 PITANGUEIRAS";21187,81
